구분,노선명,운행구간,거리(km),1일운행횟수(평일),배차간격(분)(평일),운행대수(평일),운행업체,데이터기준일자
간선,300,하귀(번대동)-외도초-S중앙병원-한라병원-보건소-시청-동광양-화북-삼양-신촌-조천-함덕,32.2,42,25~60,11,극동여객· 삼영교통(도심급행),2025-12-31
간선,301,하귀(번대동)-외도초-S중앙병원-한라병원-터미널-동광양-화북-삼양-신촌-조천-함덕,31.2,34,34~70,11,극동여객· 삼영교통(도심급행),2025-12-31
간선,302,제주공항-중앙로-시청-제주대-(제주국제자유도시센터-국제대)-제주대-시청-중앙로-제주공항,30.6,68,10~16,10,삼영교통(도심급행),2025-12-31
간선,311,한라수목원-탐라도서관-노형오거리-한라병원-제원아파트-제주도청-보건소-제주시청-화북-삼양-함덕,26.1,41,20~90,13,삼화여객,2025-12-31
간선,312,한라수목원-탐라도서관-노형오거리-한라병원-제원아파트-제주도청-보건소-광양-동문로터리-화북-삼화지구-함덕,29.2,41,20~90,13,삼화여객,2025-12-31
간선,315,수산-하귀-외도-월광로-백록초-원노형-매종글래드-제주도청-제주공항-터미널-광양사거리-동문로터리-국제부두,27.6,45,30~50,7,제주여객,2025-12-31
간선,316,번대-하귀-외도-오광로-백록초-원노형-매종글래드-제주도청(신제주R)-제주공항-용담사거리-동문로터리-화북-삼양,28.7,44,35~50,7,제주여객,2025-12-31
간선,320,수산-하귀-외도-도평-광평-한라대-롯데마트-연북로-구산마을-탐라중-한마음병원-거로사거리-삼화지구,28.2,66,10~57,11,삼영교통,2025-12-31
간선,325,한라수목원-탐라도서관-한라중-오일장-신제주로터리-제주공항-용담-동문로터리-국립박물관-화북-삼양초등학교-함덕,30.3,46,25~60,7,극동여객,2025-12-31
간선,331,한라수목원-한라대-오일장-신성마을-공항-터미널-제주시청-동광초-거로사거리-국립박물관-화북-삼양,21.6,42,22~60,10,금남여객,2025-12-31
간선,332,한라수목원-한라중-연동대림-제원아파트-제주도청(신제주R)-공항-터미널-광양-중앙로사거리-여상-국립박물관-화북-삼양,19.4,42,22~60,10,금남여객,2025-12-31
간선,335,관광대-백록초-한라병원-제원아파트-제주도청-터미널-동광양-인제-화북-삼양-봉개,23.4,42,28~70,11,삼영교통,2025-12-31
간선,336,관광대-한라대-연동대림-도호동-제주도청(신제주R)-터미널-동광양-인제-화북-삼화지구-봉개(회천),23,40,28~70,11,삼영교통,2025-12-31
간선,341,함덕-삼양-화북-인제-제주시청-제주대(영주고),23.5,48,14~60,12,삼영교통,2025-12-31
간선,342,함덕-삼화지구-화북-인제-제주시청-제주대-제주대(영주고),24.5,48,14~60,12,삼영교통,2025-12-31
간선,43-1,절물-4.3공원-봉개-부록마을-한일베라체-대림아파트-이도2동주민센터-제주시청-터미널-공항,19.6,27,55~110,6,극동여객,2025-12-31
간선,43-2,절물-4.3공원-봉개-부록마을-한일베라체-대림아파트-신천동-서해아파트-동문로터리-용담사거리-월성마을-공항,20.3,27,55~110,6,극동여객,2025-12-31
간선,43-3,제주절물자연휴양림-4.3평화공원-명도암-봉개동-도련반석스위트타운-도련1동-제주자동차검사소-오름중학교-화북휴먼시아-제주동중학교-화북남문-오현중고등학교-천수동-동광양-버스터미널(북)-명신마을-제주국제공항-오라3동-버스터미널(남),24.1,2,,6,극동여객,2025-12-31
간선,345(순환),제주대(영주고)-제주여중고-탐라중학교-신설동-거로사거리-삼화지구-거로사거리-신설동-탐라중학교-제주여중고-제주대(영주고),23.6,30,30~35,4,동진여객,2025-12-31
간선,346,제주대-제주여중고-일중/한일베라체-대유대림-서해아파트-화북-삼화지구(도련초),16.4,43,10~70,4,동진여객,2025-12-31
