정류소아이디,정류소명,경도,위도,위치정보(주변설명),데이터 기준일자
406001167,(구)구판장,126.798051,33.329675,세화1리노인회관입구,2022-11-01
406001168,(구)구판장,126.797879,33.329732,세화1리노인회관입구,2022-11-01
405000186,(구)삼양검문소,126.600034,33.521022,자연농원 우측,2022-11-01
405000185,(구)삼양검문소,126.600847,33.520956,조천읍이정표 좌측,2022-11-01
406000324,(구)중앙파출소,126.560894,33.247598,윤성현내과의원 건너편,2022-11-01
406000467,(구)중앙파출소,126.560367,33.247,M-STAY제주호텔 앞,2022-11-01
406001176,(구)중앙파출소,126.56089,33.247515,에이스모텔(후문) 앞,2022-11-01
406001837,(구)화산초등학교,126.797266,33.326228,,2022-11-01
406000607,(구)화산초등학교,126.797243,33.326291,세화3리 방향,2022-11-01
406001894,1100고지휴게소,126.462942,33.35782,,2022-11-01
406001109,1100고지휴게소,126.463076,33.357816,1100고지휴게소 맞은편,2022-11-01
406000529,1100도로입구,126.43152,33.25164,,2022-11-01
406000021,1100도로입구,126.431641,33.251594,중문주공101동 건너편,2022-11-01
406001962,129전경대,126.241258,33.268002,,2022-11-01
406001963,129전경대,126.241734,33.268234,,2022-11-01
405001700,4.3 평화공원,126.62162,33.451192,4.3공원앞(정문),2022-11-01
405001701,4.3 평화공원,126.6219,33.451025,어린이교통공원 좌측,2022-11-01
405001703,4.3 평화공원 입구,126.620093,33.453117,4.3공원주차장 앞,2022-11-01
405000724,6호광장,126.549231,33.510988,스타침대 우측,2022-11-01
405000723,6호광장,126.548601,33.511076,침대쇼파전문매장 맞은편 좌측,2022-11-01
405001360,911의원,126.678082,33.540685,아지트게스트하우스앞,2022-11-01
405001359,911의원,126.6784,33.540617,아지트게스트하우스 건너편,2022-11-01
405000558,GM빌라,126.520817,33.466633,GM빌라단지 앞,2022-11-01
405000557,GM빌라,126.520795,33.466735,GM빌라 건너편,2022-11-01
405002290,JDC제주첨단 리슈빌,126.575245,33.456753,,2022-11-01
405002291,JDC제주첨단 리슈빌,126.575318,33.457217,,2022-11-01
406001813,KIS빌리지,126.278091,33.269408,,2022-11-01
406001812,KIS빌리지,126.277928,33.269328,,2022-11-01
406001251,LH 1 2단지,126.522626,33.25002,LH1단지 맞은편,2022-11-01
406001252,LH 1 2단지,126.523156,33.249837,LH단지 앞,2022-11-01
406000470,LH아파트,126.522811,33.247249,광대왓방향,2022-11-01
406000309,L마트,126.560033,33.2643,L마트앞,2022-11-01
405002179,NHF삼화1단지,126.582096,33.517458,,2022-11-01
406001224,NLCS 제주,126.285163,33.296438,영어국제학교 안,2022-11-01
406001223,NLCS 제주,126.28563,33.296624,영어국제학교 안,2022-11-01
405001706,S중앙병원,126.471671,33.492851,GS제주월랑점 우측,2022-11-01
405001707,S중앙병원,126.471821,33.492937,새한종합주방 앞,2022-11-01
406001024,가마초등학교,126.799619,33.306706,가마초등학교 맞은편,2022-11-01
406001025,가마초등학교,126.800333,33.30655,순이네감귤농장 건너편,2022-11-01
405002401,가문동마을길,126.395767,33.483513,,2022-11-01
405002400,가문동마을길,126.395788,33.483592,,2022-11-01
405001609,가물개공원,126.584656,33.524662,가물개공원승차대 맞은편,2022-11-01
405001610,가물개공원,126.584825,33.524555,어린이공원 앞,2022-11-01
405001653,가시나물,126.570138,33.471095,기와단독주택 맞은편,2022-11-01
405001652,가시나물,126.569948,33.472524,기와단독주택앞,2022-11-01
406000700,가시농협,126.771467,33.352633,솔밭가든 우측,2022-11-01
406000756,가시농협,126.771602,33.352694,표선농협 맞은편,2022-11-01
406000857,가시리동상동,126.773883,33.353517,비닐하우스 앞,2022-11-01
406000858,가시리동상동,126.773915,33.353809,마을안길 비닐하우스 맞은편,2022-11-01
406000758,가시리동하동,126.773913,33.350253,남광상회슈퍼건너편,2022-11-01
406000757,가시리동하동,126.773899,33.350138,가시식당 우측,2022-11-01
406000755,가시리사무소,126.771517,33.353033,가시식당 앞,2022-11-01
406001431,가시리체육공원,126.774914,33.352355,가시리 체육공원 좌측,2022-11-01
406001430,가시리체육공원,126.774735,33.352385,가시리체육공원 맞은편,2022-11-01
406000692,가시리취락구조,126.766867,33.36135,솔밭가든 맞은편,2022-11-01
406000859,가시리취락구조,126.766617,33.361436,오뚜기편의점 앞,2022-11-01
405001772,가원,126.562902,33.498659,거로민속대장간 우측,2022-11-01
405001484,가원,126.563032,33.498613,거로민속대장간 맞은편,2022-11-01
406001028,가흥동,126.80675,33.307117,가마교차로 지나서 바로,2022-11-01
406001029,가흥동,126.808517,33.307583,관우농장 좌측,2022-11-01
405001948,각시물,126.259085,33.324894,몽생이식당민박앞,2022-11-01
405001947,각시물,126.259315,33.324748,타임파크 앤 미라클아트뮤지엄(앞),2022-11-01
405002496,간드락마을,126.548724,33.488024,,2022-11-01
405002497,간드락마을,126.548712,33.487855,,2022-11-01
406001997,간장캐,126.470711,33.261176,,2022-11-01
406001996,간장캐,126.47143,33.260396,,2022-11-01
405000606,갈왓,126.456233,33.493317,다인정보통신 건너편,2022-11-01
405000607,갈왓,126.455895,33.493657,제주공항렌트카앞,2022-11-01
406000243,감귤단지,126.609183,33.301263,서귀포시 방향,2022-11-01
406000244,감귤단지,126.609389,33.301155,미니축구장 앞(신례리 방향),2022-11-01
406001640,감귤박물관,126.610747,33.271326,,2022-11-01
